state,high_school,bachelors,advanced
Alabama,82.1,22.0,7.7
Alaska,91.4,26.6,9.0
Arizona,84.2,25.6,9.3
Arkansas,82.4,18.9,6.1
California,80.6,29.9,10.7
Colorado,89.3,35.9,12.7
Connecticut,88.6,35.6,15.5
Delaware,87.4,28.7,11.4
Florida,85.3,25.3,9.0
Georgia,83.9,27.5,9.9
Hawaii,90.4,29.6,9.9
Idaho,88.4,23.9,7.5
Illinois,86.4,30.6,11.7
Indiana,86.6,22.5,8.1
Iowa,90.5,25.1,7.4
Kansas,89.7,29.5,10.2
Kentucky,81.7,21.0,8.5
Louisiana,82.2,21.4,6.9
Maine,90.2,26.9,9.6
Maryland,88.2,35.7,16.0
Massachusetts,89.0,38.2,16.4
Michigan,87.9,24.6,9.4
Minnesota,91.5,31.5,10.3
Mississippi,80.4,19.6,7.1
Missouri,86.8,25.2,9.5
Montana,90.8,27.4,8.3
Nebraska,89.8,27.4,8.8
Nevada,83.9,21.8,7.6
New Hampshire,91.3,32.0,11.2
New Jersey,87.4,34.5,12.9
New Mexico,82.8,25.3,10.4
New York,84.7,32.4,14.0
North Carolina,84.3,26.5,8.8
North Dakota,90.1,25.8,6.7
Ohio,87.6,24.1,8.8
Oklahoma,85.6,22.7,7.4
Oregon,89.1,29.2,10.4
Pennsylvania,87.9,26.4,10.2
Rhode Island,84.7,30.5,11.7
South Carolina,83.6,24.3,8.4
South Dakota,89.9,25.1,7.3
Tennessee,83.1,23.0,7.9
Texas,79.9,25.5,8.5
Utah,90.4,28.5,9.1
Vermont,91.0,33.1,13.3
Virginia,86.6,34.0,14.1
Washington,89.7,31.0,11.1
West Virginia,82.8,17.3,6.7
Wisconsin,89.8,25.7,8.4
Wyoming,91.8,23.8,7.9
