state,poverty_rate
New Hampshire,5.6
New Jersey,6.8
Vermont,7.6
Minnesota,8.1
Hawaii,8.6
Delaware,9.2
Utah,9.2
Virginia,9.2
Nebraska,9.5
Connecticut,9.7
Maryland,9.7
Idaho,9.9
Alaska,10.0
Massachusetts,10.1
Washington,10.2
Wisconsin,10.2
Nevada,10.6
Wyoming,10.6
Florida,11.1
North Dakota,11.2
Pennsylvania,11.2
Iowa,11.3
Colorado,11.4
Illinois,11.5
Missouri,11.6
South Dakota,11.8
Michigan,12.0
Oregon,12.0
Rhode Island,12.1
Ohio,12.3
Kansas,12.5
Indiana,12.6
Maine,12.6
North Carolina,13.1
California,13.2
Montana,13.8
Georgia,14.4
New York,14.5
Kentucky,14.8
Tennessee,15.0
South Carolina,15.0
Arizona,15.2
West Virginia,15.4
Oklahoma,15.6
Arkansas,15.9
Texas,16.2
Alabama,16.7
New Mexico,17.9
Louisiana,18.3
Mississippi,20.1
